filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
qr1.png,2105,"{}",12,0,"{""name"":""point"",""cx"":56,""cy"":84}","{}"
qr1.png,2105,"{}",12,1,"{""name"":""point"",""cx"":56,""cy"":57}","{}"
qr1.png,2105,"{}",12,2,"{""name"":""point"",""cx"":84,""cy"":57}","{}"
qr1.png,2105,"{}",12,3,"{""name"":""point"",""cx"":1063,""cy"":56}","{}"
qr1.png,2105,"{}",12,4,"{""name"":""point"",""cx"":1092,""cy"":56}","{}"
qr1.png,2105,"{}",12,5,"{""name"":""point"",""cx"":1092,""cy"":86}","{}"
qr1.png,2105,"{}",12,6,"{""name"":""point"",""cx"":1093,""cy"":1065}","{}"
qr1.png,2105,"{}",12,7,"{""name"":""point"",""cx"":1092,""cy"":1092}","{}"
qr1.png,2105,"{}",12,8,"{""name"":""point"",""cx"":1064,""cy"":1093}","{}"
qr1.png,2105,"{}",12,9,"{""name"":""point"",""cx"":86,""cy"":1093}","{}"
qr1.png,2105,"{}",12,10,"{""name"":""point"",""cx"":56,""cy"":1093}","{}"
qr1.png,2105,"{}",12,11,"{""name"":""point"",""cx"":56,""cy"":1064}","{}"
