filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
qr1_medium.png,3417,"{}",12,0,"{""name"":""point"",""cx"":28,""cy"":43}","{}"
qr1_medium.png,3417,"{}",12,1,"{""name"":""point"",""cx"":27,""cy"":27}","{}"
qr1_medium.png,3417,"{}",12,2,"{""name"":""point"",""cx"":43,""cy"":28}","{}"
qr1_medium.png,3417,"{}",12,3,"{""name"":""point"",""cx"":532,""cy"":28}","{}"
qr1_medium.png,3417,"{}",12,4,"{""name"":""point"",""cx"":546,""cy"":28}","{}"
qr1_medium.png,3417,"{}",12,5,"{""name"":""point"",""cx"":546,""cy"":43}","{}"
qr1_medium.png,3417,"{}",12,6,"{""name"":""point"",""cx"":28,""cy"":532}","{}"
qr1_medium.png,3417,"{}",12,7,"{""name"":""point"",""cx"":28,""cy"":546}","{}"
qr1_medium.png,3417,"{}",12,8,"{""name"":""point"",""cx"":43,""cy"":546}","{}"
qr1_medium.png,3417,"{}",12,9,"{""name"":""point"",""cx"":531,""cy"":546}","{}"
qr1_medium.png,3417,"{}",12,10,"{""name"":""point"",""cx"":546,""cy"":546}","{}"
qr1_medium.png,3417,"{}",12,11,"{""name"":""point"",""cx"":546,""cy"":533}","{}"
