filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
qr1_small.png,2883,"{}",12,0,"{""name"":""point"",""cx"":14,""cy"":21}","{}"
qr1_small.png,2883,"{}",12,1,"{""name"":""point"",""cx"":14,""cy"":14}","{}"
qr1_small.png,2883,"{}",12,2,"{""name"":""point"",""cx"":21,""cy"":14}","{}"
qr1_small.png,2883,"{}",12,3,"{""name"":""point"",""cx"":22,""cy"":273}","{}"
qr1_small.png,2883,"{}",12,4,"{""name"":""point"",""cx"":14,""cy"":273}","{}"
qr1_small.png,2883,"{}",12,5,"{""name"":""point"",""cx"":14,""cy"":266}","{}"
qr1_small.png,2883,"{}",12,6,"{""name"":""point"",""cx"":266,""cy"":14}","{}"
qr1_small.png,2883,"{}",12,7,"{""name"":""point"",""cx"":273,""cy"":14}","{}"
qr1_small.png,2883,"{}",12,8,"{""name"":""point"",""cx"":273,""cy"":22}","{}"
qr1_small.png,2883,"{}",12,9,"{""name"":""point"",""cx"":273,""cy"":266}","{}"
qr1_small.png,2883,"{}",12,10,"{""name"":""point"",""cx"":273,""cy"":273}","{}"
qr1_small.png,2883,"{}",12,11,"{""name"":""point"",""cx"":266,""cy"":273}","{}"
